ACRELANDIA;69945000;69945000;AC
ASSIS BRASIL;69935000;69935000;AC
BRASILEIA;69932000;69932000;AC
BUJARI;69923000;69923000;AC
CAPIXABA;69922000;69922000;AC
CRUZEIRO DO SUL;69980000;69980000;AC
EPITACIOLANDIA;69934000;69934000;AC
FEIJO;69960000;69960000;AC
JORDAO;69975000;69975000;AC
MANCIO LIMA;69990000;69990000;AC
MANOEL URBANO;69950000;69950000;AC
MARECHAL THAUMATURGO;69983000;69983000;AC
PLACIDO DE CASTRO;69928000;69928000;AC
PORTO WALTER;69982000;69982000;AC
RIO BRANCO;69900000;69920999;AC
RODRIGUES ALVES;69985000;69985000;AC
SANTA ROSA DO PURUS;69955000;69955000;AC
SENADOR GUIOMARD;69925000;69925000;AC
SENA MADUREIRA;69940000;69940000;AC
TARAUACA;69970000;69970000;AC
XAPURI;69930000;69930000;AC
PORTO ACRE;69921000;69921000;AC
AGUA BRANCA;57490000;57490000;AL
ANADIA;57660000;57660000;AL
ARAPIRACA;57300000;57319800;AL
ATALAIA;57690000;57693000;AL
BARRA DE SANTO ANTONIO;57925000;57925000;AL
BARRA DE SAO MIGUEL;57180000;57180000;AL
BATALHA;57420000;57420000;AL
BELEM;57630000;57630000;AL
BELO MONTE;57435000;57435000;AL
BOCA DA MATA;57680000;57680000;AL
BRANQUINHA;57830000;57830000;AL
CACIMBINHAS;57570000;57570000;AL
CAJUEIRO;57770000;57770000;AL
CAMPESTRE;57968000;57968000;AL
CAMPO ALEGRE;57250000;57250000;AL
CAMPO GRANDE;57350000;57350000;AL
CANAPI;57530000;57530000;AL
CAPELA;57780000;57790000;AL
CARNEIROS;57535000;57535000;AL
CHA PRETA;57760000;57760000;AL
COITE DO NOIA;57325000;57325000;AL
COLONIA LEOPOLDINA;57975000;57975000;AL
COQUEIRO SECO;57140000;57140000;AL
CORURIPE;57230000;57235000;AL
CRAIBAS;57320000;57320000;AL
DELMIRO GOUVEIA;57480000;57480000;AL
DOIS RIACHOS;57560000;57560000;AL
ESTRELA DE ALAGOAS;57625000;57625000;AL
FEIRA GRANDE;57340000;57340000;AL
FELIZ DESERTO;57220000;57220000;AL
FLEXEIRAS;57995000;57995000;AL
GIRAU DO PONCIANO;57360000;57360000;AL
IBATEGUARA;57890000;57895000;AL
IGACI;57620000;57620000;AL
IGREJA NOVA;57280000;57280000;AL
INHAPI;57545000;57545000;AL
JACARE DO HOMENS;57430000;57430000;AL
JACUIPE;57960000;57960000;AL
JAPARATINGA;57950000;57950000;AL
JARAMATAIA;57425000;57425000;AL
JEQUIA DA PRAIA;57244000;57244000;AL
JOAQUIM GOMES;57980000;57980000;AL
JUNDIA;57965000;57965000;AL
JUNQUEIRO;57270000;57270000;AL
LAGOA DA CANOA;57330000;57330000;AL
LIMOEIRO DE ANADIA;57260000;57260000;AL
MACEIO;57000000;57099999;AL
MAJOR ISIDORO;57580000;57585000;AL
MARAGOGI;57955000;57958000;AL
MARAVILHA;57520000;57520000;AL
MARECHAL DEODORO;57160000;57160000;AL
MARIBONDO;57670000;57670000;AL
MAR VERMELHO;57730000;57730000;AL
MATA GRANDE;57540000;57540000;AL
MATRIZ DE CAMARAGIBE;57910000;57910000;AL
MESSIAS;57990000;57990000;AL
MINADOR DO NEGRAO;57615000;57615000;AL
MONTEIROPOLIS;57440000;57440000;AL
MURICI;57820000;57820000;AL
NOVO LINO;57970000;57970000;AL
OLHO D´AGUA DAS FLORES;57442000;57442000;AL
OLHO D´AGUA DO CASADO;57470000;57470000;AL
OLHO D´AGUA GRANDE;57390000;57390000;AL
OLIVENCA;57550000;57550000;AL
OURO BRANCO;57525000;57525000;AL
PALESTINA;57410000;57410000;AL
PALMEIRA DO INDIOS;57600000;57614000;AL
PAO DE ACUCAR;57400000;57405000;AL
PARICONHA;57475000;57475000;AL
PARIPUEIRA;57935000;57935000;AL
PASSO DE CAMARAGIBE;57930000;57930000;AL
PAULO JACINTO;57740000;57740000;AL
PENEDO;57200000;57200000;AL
PIACABUCU;57210000;57210000;AL
PILAR;57150000;57150000;AL
PINDOBA;57720000;57720000;AL
PIRANHAS;57460000;57465000;AL
POCO DAS TRINCHEIRAS;57510000;57510000;AL
PORTO CALVO;57900000;57900000;AL
PORTO DE PEDRAS;57945000;57948000;AL
PORTO REAL DO COLEGIO;57290000;57290000;AL
QUEBRANGULO;57750000;57750000;AL
RIO LARGO;57100000;57110000;AL
ROTEIRO;57246000;57246000;AL
SANTA LUZIA DO NORTE;57130000;57130000;AL
SANTANA DO IPANEMA;57500000;57500000;AL
SANTANA DO MUNDAU;57840000;57850000;AL
SAO BRAS;57380000;57380000;AL
SAO JOSE DA LAJE;57860000;57860000;AL
SAO JOSE DA TAPERA;57445000;57445000;AL
SAO LUIS DO QUITUNDE;57920000;57920000;AL
SAO MIGUEL DO CAMPOS;57240000;57240000;AL
SAO MIGUEL DO MILAGRES;57940000;57940000;AL
SAO SEBASTIAO;57275000;57275000;AL
SATUBA;57120000;57120000;AL
SENADOR RUI PALMEIRA;57515000;57515000;AL
TANQUE D´ARCA;57635000;57635000;AL
TAQUARANA;57640000;57640000;AL
TEOTONIO VILELA;57265000;57265000;AL
TRAIPU;57370000;57370000;AL
UNIAO DO PALMARES;57800000;57810000;AL
VICOSA;57700000;57700000;AL
ALVARAES;69475000;69475000;AM
AMATURA;69620000;69620000;AM
ANAMA;69445000;69445000;AM
ANORI;69440000;69440000;AM
APUI;69265000;69265000;AM
ATALAIA DO NORTE;69650000;69650000;AM
AUTAZES;69240000;69245000;AM
BARCELOS;69700000;69725000;AM
BARREIRINHA;69160000;69175000;AM
BENJAMIN CONSTANT;69630000;69630000;AM
BERURI;69430000;69430000;AM
BOA VISTA DO RAMOS;69195000;69197000;AM
BOCA DO ACRE;69850000;69855000;AM
BORBA;69200000;69212000;AM
CAAPIRANGA;69410000;69410000;AM
CANUTAMA;69820000;69820000;AM
CARAUARI;69500000;69500000;AM
